Order_ID,Order_DateTime,Customer_Id,Gender,Device_Type,Customer_Login_type,Product_Category,Product,Quantity,Sales,Total_Amount,Discount,Profit,Net_Profit,Shipping_Cost,Order_Priority,Payment_method
65,2018-08-10 13:26:59,52527,Male,Web,Member,Auto & Accessories,Car Speakers,1.0,211.0,211.0,0.3,109.9,98.9,11.0,Medium,Money_Order
66,2018-10-18 16:02:23,17333,Male,Web,Member,Auto & Accessories,Car Body Covers,1.0,117.0,117.0,0.2,34.7,31.200000000000003,3.5,High,Credit_Card
67,2018-10-13 13:47:39,26223,Male,Web,Member,Auto & Accessories,Car & Bike Care,1.0,118.0,118.0,0.1,36.8,33.099999999999994,3.7,High,Credit_Card
68,2018-07-15 08:33:19,22734,Male,Web,Member,Auto & Accessories,Tyre,1.0,250.0,250.0,0.1,167.5,150.7,16.8,High,Money_Order
69,2018-02-13 14:27:11,54066,Male,Web,Member,Auto & Accessories,Bike Tyres,1.0,72.0,72.0,0.2,72.0,64.8,7.2,High,E_Wallet
70,2018-09-13 08:44:17,55093,Male,Web,Member,Auto & Accessories,Car Mat,1.0,54.0,54.0,0.3,54.0,48.6,5.4,Critical,Credit_Card
71,2018-08-15 10:33:30,49436,Male,Web,Member,Auto & Accessories,Car Seat Covers,4.0,114.0,456.0,0.3,20.3,18.3,2.0,Medium,E_Wallet
72,2018-08-20 11:45:39,41257,Male,Web,Member,Auto & Accessories,Car Pillow & Neck Rest,1.0,231.0,231.0,0.3,116.4,104.80000000000001,11.6,Medium,Credit_Card
73,2018-09-20 17:15:46,55433,Male,Web,Member,Auto & Accessories,Car Media Players,4.0,140.0,560.0,0.3,32.0,28.8,3.2,High,Money_Order
74,2018-02-15 09:19:48,13366,Male,Web,Member,Auto & Accessories,Car Speakers,5.0,211.0,1055.0,0.1,120.5,108.5,12.0,Critical,Credit_Card
75,2018-07-28 16:52:55,41451,Male,Web,Member,Auto & Accessories,Car Body Covers,4.0,117.0,468.0,0.1,32.3,29.099999999999998,3.2,High,Credit_Card
76,2018-11-09 18:32:47,42588,Male,Web,Member,Auto & Accessories,Car & Bike Care,1.0,118.0,118.0,0.1,36.8,33.099999999999994,3.7,High,E_Wallet
77,2018-11-26 22:04:34,26754,Male,Web,Member,Auto & Accessories,Tyre,4.0,250.0,1000.0,0.3,140.0,126.0,14.0,Critical,Credit_Card
78,2018-07-30 03:06:35,34365,Male,Web,Member,Auto & Accessories,Bike Tyres,4.0,72.0,288.0,0.3,18.0,16.2,1.8,Critical,Credit_Card
79,2018-03-22 00:17:37,49745,Male,Web,Member,Auto & Accessories,Car Mat,5.0,54.0,270.0,0.3,10.8,9.700000000000001,1.1,High,Credit_Card
80,2018-09-06 22:39:29,53213,Male,Web,Member,Auto & Accessories,Car Seat Covers,1.0,114.0,114.0,0.3,28.3,25.5,2.8,Critical,Credit_Card
81,2018-05-09 20:48:59,43735,Male,Web,Member,Auto & Accessories,Car Pillow & Neck Rest,1.0,231.0,231.0,0.3,144.1,129.7,14.4,High,Credit_Card
82,2018-09-20 20:42:44,14760,Male,Web,Member,Auto & Accessories,Car Media Players,1.0,140.0,140.0,0.1,58.6,52.7,5.9,High,Credit_Card
83,2018-01-16 14:56:50,44410,Male,Web,Member,Auto & Accessories,Car Speakers,5.0,211.0,1055.0,0.3,99.4,89.5,9.9,High,Credit_Card
84,2018-03-08 09:42:43,53552,Male,Web,Member,Auto & Accessories,Car Body Covers,1.0,117.0,117.0,0.2,30.0,27.0,3.0,Critical,Credit_Card
85,2018-11-26 16:53:30,39696,Male,Web,Member,Auto & Accessories,Car & Bike Care,1.0,118.0,118.0,0.3,28.6,25.700000000000003,2.9,High,Credit_Card
86,2018-08-27 12:55:42,22235,Male,Web,Member,Auto & Accessories,Tyre,4.0,250.0,1000.0,0.3,120.0,108.0,12.0,Critical,Debit_Card
87,2018-05-11 13:10:51,42599,Male,Web,Member,Auto & Accessories,Bike Tyres,1.0,72.0,72.0,0.2,36.0,32.4,3.6,High,Credit_Card
88,2018-06-22 19:22:22,27079,Female,Web,Member,Auto & Accessories,Car Mat,1.0,54.0,54.0,0.3,27.0,24.3,2.7,Critical,Credit_Card
89,2018-05-01 08:12:37,57745,Male,Web,Guest,Auto & Accessories,Car Seat Covers,1.0,114.0,114.0,0.3,24.9,22.4,2.5,High,Credit_Card
90,2018-02-19 22:17:15,20917,Male,Web,Member,Auto & Accessories,Car Pillow & Neck Rest,5.0,231.0,1155.0,0.3,104.8,94.3,10.5,Critical,Credit_Card
91,2018-09-11 22:32:31,54446,Male,Web,Member,Auto & Accessories,Car Media Players,1.0,140.0,140.0,0.3,54.4,49.0,5.4,High,Credit_Card
92,2018-03-20 23:45:07,55746,Male,Web,Member,Auto & Accessories,Car Speakers,1.0,211.0,211.0,0.1,124.7,112.2,12.5,Critical,Credit_Card
93,2018-09-22 23:23:18,58534,Male,Web,Member,Auto & Accessories,Car Body Covers,1.0,117.0,117.0,0.2,32.3,29.099999999999998,3.2,Critical,Credit_Card
94,2018-11-03 08:59:39,53957,Male,Web,Member,Auto & Accessories,Car & Bike Care,4.0,118.0,472.0,0.3,19.1,17.200000000000003,1.9,Critical,Credit_Card
95,2018-05-14 08:35:33,53395,Male,Web,Member,Auto & Accessories,Tyre,4.0,250.0,1000.0,0.3,140.0,126.0,14.0,High,Credit_Card
96,2018-04-22 11:32:22,52267,Male,Web,Member,Auto & Accessories,Bike Tyres,,72.0,,0.1,36.0,32.4,3.6,Critical,Credit_Card
97,2018-12-30 07:50:33,29085,Male,Web,Member,Auto & Accessories,Car Mat,5.0,54.0,270.0,0.2,10.8,9.700000000000001,1.1,High,Credit_Card
98,2018-10-05 09:10:34,56399,Male,Web,Member,Auto & Accessories,Car Seat Covers,1.0,114.0,114.0,0.3,20.3,18.3,2.0,High,Credit_Card
99,2018-11-26 11:04:26,27009,Female,Web,Member,Auto & Accessories,Car Pillow & Neck Rest,1.0,231.0,231.0,0.2,141.8,127.60000000000001,14.2,Critical,Credit_Card
100,2018-05-17 08:36:11,35336,Male,Web,Member,Auto & Accessories,Car Media Players,1.0,140.0,140.0,0.1,58.6,52.7,5.9,Critical,Credit_Card
101,2018-07-30 22:41:44,26503,Male,Web,Member,Auto & Accessories,Car Speakers,5.0,211.0,1055.0,0.3,99.4,89.5,9.9,Critical,Money_Order
102,2018-12-01 22:14:26,50579,Male,Web,Member,Auto & Accessories,Car Body Covers,1.0,117.0,117.0,0.3,26.5,23.9,2.6,High,Credit_Card
103,2018-08-06 21:09:10,54326,Male,Web,Member,Auto & Accessories,Car & Bike Care,5.0,118.0,590.0,0.3,14.4,13.0,1.4,Critical,E_Wallet
104,2018-06-28 23:45:53,23420,Male,Web,Member,Auto & Accessories,Tyre,1.0,250.0,250.0,0.3,132.5,119.2,13.3,High,Credit_Card
105,2018-06-27 22:04:34,32534,Male,Web,Member,Auto & Accessories,Bike Tyres,4.0,72.0,288.0,0.3,18.0,16.2,1.8,High,Credit_Card
106,2018-07-01 15:42:32,22902,Male,Web,Member,Auto & Accessories,Car Mat,5.0,54.0,270.0,0.1,10.8,9.700000000000001,1.1,Critical,Credit_Card
107,2018-02-27 12:07:22,31526,Male,Web,Member,Auto & Accessories,Car Seat Covers,1.0,114.0,114.0,0.2,29.4,26.5,2.9,Critical,Credit_Card
108,2018-04-28 21:00:44,40170,Male,Web,Member,Auto & Accessories,Car Pillow & Neck Rest,1.0,231.0,231.0,0.2,137.1,123.39999999999999,13.7,Critical,Money_Order
109,2018-08-01 12:31:21,18701,Male,Web,Member,Auto & Accessories,Car Media Players,4.0,140.0,560.0,0.3,43.2,38.900000000000006,4.3,Medium,Credit_Card
110,2018-11-22 16:10:29,10773,Male,Web,Member,Auto & Accessories,Car Speakers,1.0,211.0,211.0,0.3,99.4,89.5,9.9,Critical,Credit_Card
111,2018-07-06 23:36:15,41607,Female,Web,Member,Auto & Accessories,Car Body Covers,5.0,117.0,585.0,0.3,7.8,7.0,0.8,Critical,Credit_Card
112,2018-05-09 18:27:00,26936,Male,Web,Member,Auto & Accessories,Car & Bike Care,1.0,118.0,118.0,0.1,34.5,31.1,3.4,Medium,Debit_Card
113,2018-04-26 17:49:46,56518,Male,Web,Member,Auto & Accessories,Tyre,5.0,250.0,1250.0,0.1,157.5,141.7,15.8,High,Credit_Card
114,2018-10-27 23:11:57,44722,Female,Web,Member,Auto & Accessories,Bike Tyres,1.0,72.0,72.0,0.3,36.0,32.4,3.6,High,Credit_Card
115,2018-06-23 10:32:39,39332,Male,Web,Member,Auto & Accessories,Car Mat,4.0,54.0,216.0,0.2,13.5,12.1,1.4,High,Credit_Card
116,2018-11-20 18:24:30,39095,Male,Web,Member,Auto & Accessories,Car Seat Covers,5.0,114.0,570.0,0.3,5.5,4.9,0.6,High,Credit_Card
117,2018-06-30 07:51:17,55428,Male,Web,Member,Auto & Accessories,Car Pillow & Neck Rest,4.0,231.0,924.0,0.2,132.5,119.2,13.3,Critical,Credit_Card
118,2018-12-30 14:20:46,16481,Male,Web,Guest,Auto & Accessories,Car Media Players,1.0,140.0,140.0,0.3,54.4,49.0,5.4,High,Credit_Card
119,2018-12-07 23:00:33,23129,Male,Web,Member,Auto & Accessories,Car Speakers,1.0,211.0,211.0,0.3,105.7,95.10000000000001,10.6,High,Credit_Card
120,2018-05-08 22:12:34,39272,Male,Web,Member,Auto & Accessories,Car Body Covers,5.0,117.0,585.0,0.1,31.2,28.099999999999998,3.1,Critical,Credit_Card
121,2018-12-30 14:46:00,54296,Male,Web,Guest,Auto & Accessories,Car & Bike Care,5.0,118.0,590.0,0.3,20.3,18.3,2.0,High,Credit_Card
122,2018-04-24 21:55:22,50254,Male,Web,Member,Auto & Accessories,Tyre,4.0,250.0,1000.0,0.3,120.0,108.0,12.0,High,E_Wallet
123,2018-09-25 22:18:10,42386,Male,Web,Member,Auto & Accessories,Bike Tyres,4.0,72.0,288.0,0.3,18.0,16.2,1.8,Critical,Credit_Card
124,2018-07-16 10:27:45,16296,Male,Web,Member,Auto & Accessories,Car Mat,1.0,54.0,54.0,0.1,54.0,48.6,5.4,High,Money_Order
125,2018-04-21 12:08:32,43547,Male,Web,Member,Auto & Accessories,Car Seat Covers,1.0,114.0,114.0,0.2,27.2,24.5,2.7,High,Credit_Card
126,2018-01-19 15:08:48,58155,Male,Web,Member,Auto & Accessories,Car Pillow & Neck Rest,1.0,231.0,231.0,0.1,148.7,133.79999999999998,14.9,Critical,Money_Order
127,2018-07-22 15:19:05,46686,Male,Web,Member,Auto & Accessories,Car Media Players,1.0,140.0,140.0,0.1,58.6,52.7,5.9,High,Credit_Card
128,2018-03-02 14:28:03,39372,Male,Web,Guest,Auto & Accessories,Car Speakers,1.0,211.0,211.0,0.1,124.7,112.2,12.5,High,Credit_Card
129,2018-12-26 09:14:26,23926,Male,Web,Member,Auto & Accessories,Car Body Covers,5.0,117.0,585.0,0.3,13.6,12.2,1.4,High,Credit_Card
130,2018-06-09 06:37:43,59723,Male,Web,Member,Auto & Accessories,Car & Bike Care,5.0,118.0,590.0,0.2,26.2,23.599999999999998,2.6,Medium,Credit_Card
131,2018-08-06 18:25:39,13656,Male,Web,Member,Auto & Accessories,Tyre,1.0,250.0,250.0,0.2,155.0,139.5,15.5,High,Money_Order
132,2018-07-18 13:39:54,47245,Male,Web,Member,Auto & Accessories,Bike Tyres,5.0,72.0,360.0,0.3,14.4,13.0,1.4,Critical,Credit_Card
133,2018-12-28 16:03:34,26200,Male,Web,Member,Auto & Accessories,Car Mat,1.0,54.0,54.0,0.2,54.0,48.6,5.4,High,Credit_Card
134,2018-10-08 12:19:58,34771,Male,Web,Guest,Auto & Accessories,Car Seat Covers,5.0,114.0,570.0,0.3,5.5,4.9,0.6,Critical,E_Wallet
135,2018-07-10 12:23:05,30722,Male,Web,Member,Auto & Accessories,Car Pillow & Neck Rest,1.0,231.0,231.0,0.2,141.8,127.60000000000001,14.2,Critical,Money_Order
136,2018-05-16 16:10:21,46226,Male,Web,Member,Auto & Accessories,Car Media Players,1.0,140.0,140.0,0.3,55.8,50.199999999999996,5.6,High,Credit_Card
137,2018-07-05 18:40:47,31323,Male,Web,Member,Auto & Accessories,Car Speakers,4.0,211.0,844.0,0.2,114.1,102.69999999999999,11.4,Critical,Credit_Card
138,2018-02-20 17:12:34,57896,Male,Web,Member,Auto & Accessories,Car Body Covers,5.0,117.0,585.0,0.3,13.6,12.2,1.4,Critical,Credit_Card
139,2018-08-21 17:15:49,52183,Male,Web,Member,Auto & Accessories,Car & Bike Care,5.0,118.0,590.0,0.3,14.4,13.0,1.4,Critical,Credit_Card
140,2018-06-10 14:18:40,16327,Male,Web,Member,Auto & Accessories,Tyre,4.0,250.0,1000.0,0.3,120.0,108.0,12.0,Medium,E_Wallet
141,2018-09-26 16:14:11,31345,Male,Web,Member,Auto & Accessories,Bike Tyres,5.0,72.0,360.0,0.3,14.4,13.0,1.4,Critical,Credit_Card
142,2018-04-27 19:24:52,17243,Female,Web,Member,Auto & Accessories,Car Mat,5.0,54.0,270.0,0.3,10.8,9.700000000000001,1.1,Medium,Credit_Card
143,2018-05-11 16:35:19,27820,Male,Web,Guest,Auto & Accessories,Car Seat Covers,4.0,114.0,456.0,0.3,11.2,10.1,1.1,Critical,Money_Order
144,2018-05-25 08:54:21,58874,Male,Web,Member,Auto & Accessories,Car Pillow & Neck Rest,1.0,231.0,231.0,0.3,139.5,125.6,13.9,Critical,Credit_Card
145,2018-04-26 09:32:06,28090,Male,Web,Member,Auto & Accessories,Car Media Players,5.0,140.0,700.0,0.1,53.0,47.7,5.3,Critical,Money_Order
146,2018-04-17 21:14:42,44331,Male,Web,Member,Auto & Accessories,Car Speakers,5.0,211.0,1055.0,0.3,88.8,79.89999999999999,8.9,High,Credit_Card
147,2018-07-23 18:27:07,46006,Male,Web,Member,Auto & Accessories,Car Body Covers,1.0,117.0,117.0,0.2,34.7,31.200000000000003,3.5,Critical,Credit_Card
148,2018-08-14 13:05:17,22080,Male,Web,Member,Auto & Accessories,Car & Bike Care,5.0,118.0,590.0,0.3,8.5,7.6,0.9,Medium,Credit_Card
149,2018-09-30 22:43:56,41793,Male,Web,Member,Auto & Accessories,Tyre,1.0,250.0,250.0,0.3,160.0,144.0,16.0,Critical,Credit_Card
150,2018-05-15 16:29:03,28996,Male,Web,Member,Auto & Accessories,Bike Tyres,1.0,72.0,72.0,0.2,24.0,21.6,2.4,High,Credit_Card
151,2018-07-22 19:16:47,36277,Male,Web,Member,Auto & Accessories,Car Mat,4.0,54.0,216.0,0.3,13.5,12.1,1.4,High,Credit_Card
152,2018-10-24 19:01:52,45487,Male,Web,Guest,Auto & Accessories,Car Seat Covers,4.0,114.0,456.0,0.3,15.8,14.200000000000001,1.6,Critical,Money_Order
153,2018-07-02 12:54:20,13020,Male,Web,Member,Auto & Accessories,Car Pillow & Neck Rest,1.0,231.0,231.0,0.3,144.1,129.7,14.4,Critical,Credit_Card
154,2018-12-06 00:14:28,52525,Male,Web,Member,Auto & Accessories,Car Media Players,1.0,140.0,140.0,0.1,58.6,52.7,5.9,High,Credit_Card
155,2018-01-04 23:02:21,29479,Male,Web,Member,Auto & Accessories,Car Speakers,5.0,211.0,1055.0,0.3,99.4,89.5,9.9,High,Credit_Card
156,2018-03-21 17:43:41,16029,Female,Web,Member,Auto & Accessories,Car Body Covers,4.0,117.0,468.0,0.1,32.3,29.099999999999998,3.2,Critical,Money_Order
157,2018-08-02 16:15:41,37402,Male,Web,Guest,Auto & Accessories,Car & Bike Care,1.0,118.0,118.0,0.3,32.1,28.900000000000002,3.2,Critical,Money_Order
158,2018-10-01 11:26:06,53794,Male,Web,Member,Auto & Accessories,Tyre,1.0,250.0,250.0,0.1,162.5,146.2,16.3,Medium,Credit_Card
159,2018-11-09 16:23:03,32178,Male,Web,Member,Auto & Accessories,Bike Tyres,1.0,72.0,72.0,0.1,24.0,21.6,2.4,High,Credit_Card
160,2018-04-15 13:47:34,58607,Male,Web,Member,Auto & Accessories,Car Mat,5.0,54.0,270.0,0.3,10.8,9.700000000000001,1.1,Medium,Credit_Card
161,2018-09-26 11:59:05,20045,Male,Web,Member,Auto & Accessories,Car Seat Covers,1.0,114.0,114.0,0.1,31.7,28.5,3.2,High,Credit_Card
162,2018-07-15 12:37:12,15311,Male,Web,Member,Auto & Accessories,Car Pillow & Neck Rest,4.0,231.0,924.0,0.3,123.3,111.0,12.3,Critical,Credit_Card
163,2018-05-30 22:33:08,48474,Male,Web,Member,Auto & Accessories,Car Media Players,1.0,140.0,140.0,0.3,55.8,50.199999999999996,5.6,Critical,Credit_Card
164,2018-03-02 14:08:33,20784,Male,Web,Member,Auto & Accessories,Car Speakers,1.0,211.0,211.0,0.2,122.6,110.3,12.3,Medium,Money_Order
165,2018-12-29 14:27:41,13649,Male,Web,Member,Auto & Accessories,Car Body Covers,4.0,117.0,468.0,0.2,27.6,24.8,2.8,Critical,E_Wallet
